LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 16764.0, 2408448, 110.0, 256.0, 9408, 511.0, 16957.0, 1048576, -25166.0, -1.0, 202800, -6292.0, -1.0, 9408, 17149.0, 21244.0, 1048576,
1, 257.0, 17219.0, 1081600, 193.0, 256.0, 4096, 511.0, 17473.0, 1081600, -113246.0, -1.0, 1081600, -6292.0, -1.0, 4096, 16926.0, 17794.0, 1081855,
2, 257.0, 51003.0, 9437184, 1.0, 34556.0, 36864, 511.0, 51257.0, 3145728, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 17661.0, 55545.0, 3145983,
3, 257.0, 17219.0, 1081600, 193.0, 256.0, 16384, 511.0, 17665.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 4734.0, 18181.0, 4326655,
4, 257.0, 17219.0, 1081600, 193.0, 256.0, 16384, 511.0, 17665.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 4734.0, 18181.0, 4326655,
5, 257.0, 17411.0, 4326400, 1.0, 256.0, 16384, 511.0, 17473.0, 1081600, -314314.0, 12672.0, 4326400, -6292.0, -1.0, 16384, 16926.0, 17794.0, 1081855,
6, 257.0, 51003.0, 9437184, 1.0, 34556.0, 36864, 511.0, 51257.0, 3145728, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 17661.0, 55545.0, 3145983,
7, 257.0, 17219.0, 1081600, 193.0, 256.0, 16384, 511.0, 17665.0, 4326400, -113246.0, -1.0, 1081600, -6292.0, -1.0, 16384, 4734.0, 18181.0, 4326655,
8, 257.0, 17411.0, 4326400, 1.0, 256.0, 16384, 511.0, 17473.0, 1081600, -314314.0, 12672.0, 4326400, -6292.0, -1.0, 16384, 16926.0, 17794.0, 1081855,
9, 257.0, 51003.0, 9437184, 1.0, 34556.0, 36864, 511.0, 51257.0, 3145728, -113246.0, -1.0, 1081600, -6292.0, -1.0, 36864, 17661.0, 55545.0, 3145983,
