LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 17149, 0, 13.715085427721734, 14.35546875, 13.513358230393566,
1, 17665, 0, 5.9793376733654116, 6.25, 5.893923330171307,
2, 51449, 0, 17.912884604171122, 18.75, 17.650100545820166,
3, 17665, 0, 23.917350693461646, 25.0, 23.57569332068523,
4, 17665, 0, 23.917350693461646, 25.0, 23.57569332068523,
5, 17665, 0, 23.917350693461646, 25.0, 23.57569332068523,
6, 51449, 0, 17.912884604171122, 18.75, 17.650100545820166,
7, 17665, 0, 23.917350693461646, 25.0, 23.57569332068523,
8, 17665, 0, 23.917350693461646, 25.0, 23.57569332068523,
9, 51449, 0, 17.912884604171122, 18.75, 17.650100545820166,
10, 17665, 0, 23.917350693461646, 25.0, 23.57569332068523,
11, 17665, 0, 47.83470138692329, 50.0, 47.15138664137046,
12, 24954, 0, 38.09509497475354, 45.0, 36.24189858940145,
13, 9981, 0, 42.330427812844405, 50.0, 40.268776210446056,
14, 3709, 0, 58.72202750067404, 100.0, 51.61137440758294,
15, 3709, 0, 29.36101375033702, 50.0, 25.80568720379147,
16, 8634, 0, 25.043432939541347, 45.0, 21.818869828456105,
17, 3709, 0, 29.36101375033702, 50.0, 25.80568720379147,
18, 3709, 0, 29.36101375033702, 50.0, 25.80568720379147,
19, 8634, 0, 25.043432939541347, 45.0, 21.818869828456105,
20, 3709, 0, 29.36101375033702, 50.0, 25.80568720379147,
21, 3709, 0, 29.36101375033702, 50.0, 25.80568720379147,
22, 8634, 0, 25.043432939541347, 45.0, 21.818869828456105,
23, 3709, 0, 29.36101375033702, 50.0, 25.80568720379147,
24, 3709, 0, 58.72202750067404, 100.0, 51.61137440758294,
25, 9197, 0, 25.051647276285745, 100.0, 20.04698512137823,
26, 4219, 0, 27.399857786205263, 100.0, 22.061068702290076,
27, 6775, 0, 9.564575645756458, 100.0, 7.350272232304899,
28, 3387, 0, 9.565987599645704, 100.0, 7.350272232304899,
29, 7334, 0, 6.013089719116444, 100.0, 4.579439252336448,
30, 3387, 0, 9.565987599645704, 100.0, 7.350272232304899,
31, 3387, 0, 9.565987599645704, 100.0, 7.350272232304899,
32, 7334, 0, 6.013089719116444, 100.0, 4.579439252336448,
33, 3387, 0, 9.565987599645704, 100.0, 7.350272232304899,
34, 3387, 0, 9.565987599645704, 100.0, 7.350272232304899,
35, 7334, 0, 6.013089719116444, 100.0, 4.579439252336448,
36, 3387, 0, 9.565987599645704, 100.0, 7.350272232304899,
37, 3387, 0, 9.565987599645704, 100.0, 7.350272232304899,
38, 7334, 0, 6.013089719116444, 100.0, 4.579439252336448,
39, 3387, 0, 9.565987599645704, 100.0, 7.350272232304899,
40, 3387, 0, 9.565987599645704, 100.0, 7.350272232304899,
41, 7334, 0, 6.013089719116444, 100.0, 4.579439252336448,
42, 3387, 0, 9.565987599645704, 100.0, 7.350272232304899,
43, 6775, 0, 9.564575645756458, 100.0, 7.350272232304899,
44, 28151, 0, 2.046108486377038, 100.0, 1.5429122468659584,
45, 12655, 0, 3.1608060055314104, 100.0, 2.3900573613766736,
46, 24799, 0, 1.1613371506915602, 100.0, 0.8737864077669908,
47, 12399, 0, 1.1613839825792402, 100.0, 0.8737864077669907,
48, 27611, 0, 0.1303828184419253, 100.0, 0.09784735812133072,
49, 12399, 0, 1.1613839825792402, 100.0, 0.8737864077669907,
50, 12399, 0, 1.1613839825792402, 100.0, 0.8737864077669907,
51, 27611, 0, 0.1303828184419253, 100.0, 0.09784735812133072,
52, 12399, 0, 1.1613839825792402, 100.0, 0.8737864077669907,
53, 6199, 0, 1.1614776576867236, 100.0, 0.8737864077669903,
